Name,Sector,Voltage Ratio (kV/kV),Executive Agency,Capacity (MW/MVA),Month Of Completion,Year Of Completion (FY)
Extn. at Gaya S/S (1x1500 MVA),Central,765/400,PGCIL,1500.0,JAN-19,2018-19
Banaskanta S/S,Central,765/400,PGCIL,3000.0,FEB-19,2018-19
Bhuj Pooling Station,Central,765/400,PGCIL,3000.0,MAR-19,2018-19
Narendra (ICT-II Repl.) (500-315),Central,400/220,PGCIL,185.0,APR-18,2018-19
Boisar (Extn.),Central,400/220,PGCIL,500.0,MAY-18,2018-19
Khandwa (Extn.),Central,400/220,PGCIL,500.0,MAY-18,2018-19
Tirunelveli Pooling station,Central,400/220,PGCIL,1000.0,JUN-18,2018-19
Warangal (Extn),Central,400/220,PGCIL,500.0,JUN-18,2018-19
Pondicherry (Extn),Central,400/230,PGCIL,500.0,JUN-18,2018-19
Khammam (Extn),Central,400/220,PGCIL,500.0,JUN-18,2018-19
Gooty (Extn),Central,400/220,PGCIL,500.0,JUN-18,2018-19
Degham (Extn),Central,400/220,PGCIL,500.0,JUN-18,2018-19
Tumkur (Pavagada) PS ICT-III,Central,400/220,PGCIL,500.0,JUL-18,2018-19
Parli Switching Station (Extn.),Central,400/220,PGCIL,1000.0,JUL-18,2018-19
Silcher ICT-III,Central,400/132,PGCIL,315.0,JUL-18,2018-19
Extn. at Indore S/s,Central,400/220,PGCIL,1000.0,SEP-18,2018-19
Extn. at Cuddapah s/s,Central,400/220,PGCIL,500.0,SEP-18,2018-19
Extn. at NP Kunta S/s,Central,400/220,PGCIL,500.0,SEP-18,2018-19
Tughlakabad S/S (GIS),Central,400/220,PGCIL,1500.0,OCT-18,2018-19
Tughlakabad GIS (4th-ICT),Central,400/220,PGCIL,500.0,NOV-18,2018-19
Daltonganj s/s (2nd -ICT),Central,400/220,PGCIL,315.0,NOV-18,2018-19
Kala s/s Extn. (3rd ICT),Central,400/220,PGCIL,500.0,NOV-18,2018-19
Imphal S/S (upgradation from 132/33kV to 400/132kV) (ICT-I),Central,400/132,PGCIL,315.0,DEC-18,2018-19
Extn. at Gaya s/s,Central,400/220,PGCIL,500.0,JAN-19,2018-19
Up-grading of 132/33 kV Imphal S/S to 400/132 kV (Installation of 7x105 MVA ICT),Central,400/132,PGCIL,315.0,JAN-19,2018-19
Rewa (ICT-III),Central,400/220,PGCIL,500.0,FEB-19,2018-19
Cuddapah (Extn.),Central,400/220,PGCIL,500.0,FEB-19,2018-19
Rajarhat (GIS) S/S (2x500 MVA)1st Unit,Central,400/220,PGCIL,500.0,FEB-19,2018-19
Patna (Replacement of ICT-II) (500-315),Central,400/220,PGCIL,185.0,FEB-19,2018-19
Lucknow (ICT),Central,400/220,PGCIL,500.0,MAR-19,2018-19
Hamirpur (ICT),Central,400/220,PGCIL,315.0,MAR-19,2018-19
Dismantling/Removal of 4x105 MVA ICT at 400/220KV Misa s/s and addition of 2x500MVA ICT. (ICT-I com,Central,400/220,PGCIL,500.0,MAR-19,2018-19
Banda (New) ICT-II,State,400/220,UPPTCL,315.0,APR-18,2018-19
Obra-BTPS (Aug.) (315-240),State,400/220,UPPTCL,75.0,APR-18,2018-19
Moradabad (Aug.) (500-315) ICT-II,State,400/220,UPPTCL,185.0,APR-18,2018-19
Obra -BTPS (Aug.) ICT-II (315-240),State,400/220,UPPTCL,75.0,MAY-18,2018-19
Sattenapalli ICT-III,State,400/220,APTRANSCO,315.0,MAY-18,2018-19
Kalikiri,State,400/220,APTRANSCO,630.0,JUN-18,2018-19
Bhopal (Sukhi Sewaniya) (Addl.),State,400/220,MPPTCL,315.0,JUN-18,2018-19
Julurupadu S/S,State,400/220,TSTRANSCO,630.0,JUL-18,2018-19
Nirmal S/S,State,400/220,TSTRANSCO,630.0,JUL-18,2018-19
Garividi (Marala),State,400/220,APTRANSCO,630.0,AUG-18,2018-19
Lapanga S/S,State,400/220,OPTCL,315.0,AUG-18,2018-19
Nirmal ICT-III,State,400/220,TSTRANSCO,315.0,AUG-18,2018-19
Shankarpally,State,400/220,TSTRANSCO,500.0,OCT-18,2018-19
Panki Kanpur (Aug.) T/F-I,State,400/200,UPPTCL,75.0,OCT-18,2018-19
Thappagundu s/s,State,400/110,TANTRANSCO,600.0,OCT-18,2018-19
Hindupur s/s (1st ICT),State,400/220,APTRANSCO,315.0,OCT-18,2018-19
Podili s/s (1st ICT),State,400/220,APTRANSCO,315.0,OCT-18,2018-19
Doni (Gadag)S/S,State,400/220,KPTCL,1000.0,OCT-18,2018-19
Jodhpur s/s (New),State,400/220,RVPNL,315.0,OCT-18,2018-19
Kethireddypally,State,400/220/132,TSTRANSCO,630.0,NOV-18,2018-19
Malkaram (4th -ICT),State,400/220,TSTRANSCO,315.0,NOV-18,2018-19
Jagalur (Hiremallanahole) S/S,State,400/220,KPTCL,1000.0,DEC-18,2018-19
Azamgarh (Aug) T/F-II (500-315),State,400/220,UPPTCL,185.0,JAN-19,2018-19
Jagdalpur S/s (ICT-II),State,400/220,CSPTCL,315.0,FEB-19,2018-19
Sanand (ICT-II),State,400/220,GETCO,1000.0,FEB-19,2018-19
Chandrapur (ICT-II),State,400/220,MSETCL,1000.0,FEB-19,2018-19
Jaisalmer -2 S/S,State,400/220,RVPNL,500.0,FEB-19,2018-19
Masauli (Prayagraj) (New) T/F-I,State,400/132,UPPTCL,200.0,FEB-19,2018-19
Basti (Aug) T/F-II (200-160),State,400/132,UPPTCL,40.0,FEB-19,2018-19
Sambhal (Aug) T/F- II (160-100),State,400/220,UPPTCL,60.0,MAR-19,2018-19
Masauli Prayagraj (New) T/F-II,State,400/132,UPPTCL,200.0,MAR-19,2018-19
Kirnapur (Balaghat),State,400/132,MPPTCL,200.0,MAR-19,2018-19
Sarojininagar Lucknow (Aug) T/F- I (500-315),State,400/220,UPPTCL,185.0,MAR-19,2018-19
Panki Kanpur (Aug) T/F- II (315-240),State,400/220,UPPTCL,75.0,MAR-19,2018-19
Badaun (Aug) T/F- II (200-160),State,400/220,UPPTCL,40.0,MAR-19,2018-19
Kalwa s/s (Aug.),State,400/220,MSETCL,500.0,MAR-19,2018-19
Chandrapur II S/s (Aug.),State,400/220,MSETCL,500.0,MAR-19,2018-19
Badnawar (New) s/s,State,400/220,MPPTCL,315.0,MAR-19,2018-19
Daultabad S/s (Aug.),State,400/220,HVPNL,315.0,MAR-19,2018-19
Keshod s/s Aug.,State,400/220,GETCO,160.0,MAR-19,2018-19
Amargarh (GIS) S/S (NRSS-XXIX TL - TBCB),Private,400/220,SGL,630.0,AUG-18,2018-19
Porur GIS,State,230/110,TANTRANSCO,100.0,JUL-18,2018-19
Pudukkottai (Aug) (160-100),State,230/110,TANTRANSCO,60.0,JUL-18,2018-19
Sembatty (Aug)(160-100) (GEC-I),State,230/110,TANTRANSCO,60.0,JUL-18,2018-19
Kancheepuram,State,230/110,TANTRANSCO,100.0,SEP-18,2018-19
Mondipatty (Addl Auto T/F ),State,230/110,TANTRANSCO,80.0,SEP-18,2018-19
Anuppankulam (Addl. T/F),State,230/110,TANTRANSCO,60.0,OCT-18,2018-19
Neyveli S/S,State,230/110,TANTRANSCO,480.0,OCT-18,2018-19
Porur (Addl T/F),State,230/110,TANTRANSCO,100.0,OCT-18,2018-19
Gummidipoondi (IIIrD Auto),State,230/110,TANTRANSCO,100.0,FEB-19,2018-19
Thiruvannamalai (Enhancement from 100 MVA to 160 MVA),State,230/110,TANTRANSCO,60.0,MAR-19,2018-19
Thiruchuli (II Auto trfo.),State,230/110,TANTRANSCO,100.0,MAR-19,2018-19
Thiruchuli (III Auto trafo.),State,230/110,TANTRANSCO,100.0,MAR-19,2018-19
Sohawal (Aug.) (160-100) ICT-I,State,220/132,UPPTCL,60.0,APR-18,2018-19
Sarsawa New (Saharanpur) ICT-I,State,220/132,UPPTCL,160.0,APR-18,2018-19
Kanpur Road (Lucknow New),State,220/33,UPPTCL,120.0,APR-18,2018-19
Barabanki (New),State,220/132,UPPTCL,320.0,APR-18,2018-19
Verpal Repl. (100-50),State,220/66,PSTCL,50.0,APR-18,2018-19
Sarh (Kanpur Dehat New) ICT-I,State,220/132,UPPTCL,100.0,MAY-18,2018-19
Sikandara (Kanpur Dehat New) ICT-I,State,220/132,UPPTCL,100.0,MAY-18,2018-19
Barasat GIS,State,220/132,WBSETCL,320.0,MAY-18,2018-19
Jalore (160-50),State,220/132,RVPNL,110.0,MAY-18,2018-19
Bachrawan Raebareli (New )ICT-I,State,220/132,UPPTCL,160.0,MAY-18,2018-19
Baghpat (Aug.) (160-100),State,220/132,UPPTCL,60.0,MAY-18,2018-19
Hindaun (160-50),State,220/132,RVPNL,110.0,MAY-18,2018-19
Gurgaon Sec. -57,State,220/66,HVPNL,100.0,MAY-18,2018-19
Jalkot,State,220/132,MSETCL,100.0,JUN-18,2018-19
Mund,State,220/132,HVPNL,100.0,JUN-18,2018-19
Betul (Addl.),State,220/132,MPPTCL,160.0,JUN-18,2018-19
Suwasara S/S,State,220/132,MPPTCL,160.0,JUN-18,2018-19
Mandola Vihar (New ICT-I),State,220/33,UPPTCL,60.0,JUN-18,2018-19
Maur,State,220/66,PSTCL,100.0,JUN-18,2018-19
Jalkot ICT-II,State,220/132,MSETCL,100.0,JUL-18,2018-19
Limbdi (Aug) (150-50),State,220/132,GETCO,100.0,JUL-18,2018-19
Kawardha s/s,State,220/132,CSPTCL,160.0,JUL-18,2018-19
Borjhara,State,220/132,CSPTCL,160.0,JUL-18,2018-19
Parbhani (Addl),State,220/33,MSETCL,50.0,JUL-18,2018-19
Rukhi (New) ICT-I,State,220/132,UPPTCL,160.0,JUL-18,2018-19
Bhat (Aug) (2x160-100),State,220/66,GETCO,220.0,JUL-18,2018-19
Jamnagar (Aug)(160-100),State,220/66,GETCO,60.0,JUL-18,2018-19
Radhanpur (Aug),State,220/66,GETCO,160.0,JUL-18,2018-19
Tappar (Aug),State,220/66,GETCO,160.0,JUL-18,2018-19
Hoshiarpur,State,220/66,PSTCL,160.0,JUL-18,2018-19
Bansi (New) ICT-II,State,220/132,UPPTCL,100.0,JUL-18,2018-19
Mohana (Aug),State,220/132,HVPNL,100.0,JUL-18,2018-19
Jigani (2x150),State,220/66,KPTCL,300.0,AUG-18,2018-19
Mallat (Manvi) S/S,State,220/66,KPTCL,200.0,AUG-18,2018-19
Morti (New) - ICT-II,State,220/33,UPPTCL,60.0,AUG-18,2018-19
Harrawala (Dehradun) IIP (2x50),State,220/33,PTCUL,100.0,AUG-18,2018-19
Narasinghpur S/S,State,220/33,OPTCL,40.0,AUG-18,2018-19
Hinganghat,State,220/33,MSETCL,100.0,AUG-18,2018-19
R.K.Puram -II (GIS),State,220/33,DTL,200.0,AUG-18,2018-19
Hapur (New),State,220/132/33,UPPTCL,320.0,AUG-18,2018-19
Central (CMRL) (2x100),State,220/110,TANTRANSCO,200.0,AUG-18,2018-19
Thiruvannamalai (Addl.),State,220/110,TANTRANSCO,160.0,AUG-18,2018-19
Siyana ICT-I,State,220/132,UPPTCL,160.0,AUG-18,2018-19
Bhawanimandi S/S,State,220/132,RVPNL,160.0,AUG-18,2018-19
Jalna MIDC (Nagewadi) (ICT) s/s,State,220/132,MSETCL,100.0,AUG-18,2018-19
Kawant S/s,State,220/66,GETCO,160.0,AUG-18,2018-19
R.K. Puram - I (GIS),State,220/66,DTL,320.0,AUG-18,2018-19
New Town AA-III,State,220/33,WBSETCL,50.0,AUG-18,2018-19
Pirankaliyar (Imlikhera),State,220/132,PTCUL,100.0,SEP-18,2018-19
Chhanera,State,220/132,MPPTCL,320.0,SEP-18,2018-19
Suwasara (2nd Unit),State,220/132,MPPTCL,160.0,SEP-18,2018-19
Shahada Addl ICT,State,220/132,MSETCL,100.0,SEP-18,2018-19
Cuttack (One Auto T/F ),State,220/132,OPTCL,100.0,SEP-18,2018-19
Neebkarori Farrukhabad (New) T/F-II,State,220/132,UPPTCL,100.0,SEP-18,2018-19
Sarh (Kanpur Dehat New) T/F-II,State,220/132,UPPTCL,160.0,SEP-18,2018-19
Simbhaoli Ghaziabad (Aug) T/F-II,State,220/132,UPPTCL,40.0,SEP-18,2018-19
Gadchandur Addl T/F,State,220/33,MSETCL,50.0,SEP-18,2018-19
Wardha Addl. T/F,State,220/33,MSETCL,50.0,SEP-18,2018-19
Keonjhar GIS,State,220/33,OPTCL,40.0,SEP-18,2018-19
Karmsad (Aug.),State,220/66,GETCO,160.0,OCT-18,2018-19
Narwana (Aug.),State,220/132,HVPNL,60.0,OCT-18,2018-19
Therubali (3rd Auto T/F),State,220/132,OPTCL,160.0,OCT-18,2018-19
Halasar s/s,State,220/132,RVPNL,160.0,OCT-18,2018-19
Madanpur (Aug.),State,220/66,HVPNL,100.0,OCT-18,2018-19
Gurgaon Sec.-52A (Aug.),State,220/66,HVPNL,160.0,OCT-18,2018-19
Savarkundla (Aug.),State,220/66,GETCO,60.0,OCT-18,2018-19
Lalpar (Aug.),State,220/66,GETCO,60.0,OCT-18,2018-19
Bansi Siddaharthnagar (Aug) T/F-I,State,220/132,UPPTCL,60.0,OCT-18,2018-19
Hata Kushinagar (New) T/F-I,State,220/132,UPPTCL,100.0,OCT-18,2018-19
Bhuna (Aug.),State,220/132,HVPNL,100.0,OCT-18,2018-19
Mendhasal (2nd power T/F),State,220/33,OPTCL,20.0,OCT-18,2018-19
Gomti nagar Lucknow (Aug.) T/F-IV,State,220/33,UPPTCL,60.0,OCT-18,2018-19
Kanpur Road Lucknow (New) T/F-III,State,220/33,UPPTCL,60.0,OCT-18,2018-19
I.A. Hisar (Aug.),State,220/132,HVPNL,50.0,OCT-18,2018-19
Asoj (Aug),State,220/66,GETCO,150.0,OCT-18,2018-19
Kangasiyali (Aug.),State,220/66,GETCO,60.0,OCT-18,2018-19
Borjhara s/s,State,220/132,CSPTCL,160.0,NOV-18,2018-19
Dharsiwa s/s,State,220/132,CSPTCL,320.0,NOV-18,2018-19
Kawardha s/s (2nd T/F),State,220/132,CSPTCL,160.0,NOV-18,2018-19
Jind s/s (Aug.),State,220/132,HVPNL,60.0,NOV-18,2018-19
Bherunda S/S,State,220/132,RVPNL,160.0,NOV-18,2018-19
Badhni Kalan (New) s/s,State,220/66,PSTCL,100.0,NOV-18,2018-19
Pavagada S/S,State,220/66,KPTCL,200.0,NOV-18,2018-19
Panchgaon s/s (Aug.),State,220/66,HVPNL,160.0,NOV-18,2018-19
Rookhi Bulandshahar (New) T/F-I,State,220/33,UPPTCL,60.0,NOV-18,2018-19
Vasai (Addl T/F),State,220/22,MSETCL,50.0,NOV-18,2018-19
Sendhwa (New) s/s,State,220/132,MPPTCL,160.0,DEC-18,2018-19
Jhusi Prayagraj (Aug.) (200-160),State,220/132,UPPTCL,40.0,DEC-18,2018-19
Rampur s/s (Aug. (160-100),State,220/132,UPPTCL,60.0,DEC-18,2018-19
Sarh Dehat (Aug.) (160-100),State,220/132,UPPTCL,60.0,DEC-18,2018-19
Shamli S/S (Aug) Additional T/F,State,220/132,UPPTCL,100.0,DEC-18,2018-19
New Sagardighi S/S,State,220/132,WBSETCL,320.0,DEC-18,2018-19
New Town AA-III (Aug.),State,220/132,WBSETCL,160.0,DEC-18,2018-19
Kethireddypalli (2 nos of 220/132MVA PTRs),State,220/132,TSTRANSCO,200.0,DEC-18,2018-19
Bargarh S/S (ICT-II),State,220/132,OPTCL,160.0,DEC-18,2018-19
Banda (Aug) T/F-I (200-160),State,220/132,UPPTCL,40.0,JAN-19,2018-19
Sector-6 Sonepat (Capacity Addition),State,220/33,HVPNL,100.0,JAN-19,2018-19
Rania (Capacity Addition),State,220/132,HVPNL,60.0,JAN-19,2018-19
Saharanpur (Aug) T/F-I (200-160),State,220/132,UPPTCL,40.0,JAN-19,2018-19
Maath Mathura (New) T/F-I,State,220/132,UPPTCL,160.0,JAN-19,2018-19
Kanpur Dehat (New) 160 MVA (100 MVA T/F already energized in May -18).,State,220/132,UPPTCL,60.0,JAN-19,2018-19
Nissing (Capacity Addition),State,220/132,HVPNL,110.0,JAN-19,2018-19
Extn. at Imlikhera (Pirankaliyar),State,220/132,PTCUL,200.0,JAN-19,2018-19
Bastara (Capacity Addition),State,220/132,HVPNL,60.0,JAN-19,2018-19
Kaithal (Capacity Addition),State,220/132,HVPNL,60.0,JAN-19,2018-19
Tughlakabad S/S,State,220/66,DTL,320.0,FEB-19,2018-19
Kawant S/S 2nd T/F,State,220/66,GETCO,160.0,FEB-19,2018-19
Lalru S/S (Replacement of 100 MVA T/F by 160 MVA),State,220/66,PSTCL,60.0,FEB-19,2018-19
RGEC Sonipat S/S,State,220/33,HVPNL,100.0,FEB-19,2018-19
Domjur 220kV (Aug) (160-100),State,220/132,WBSETCL,60.0,FEB-19,2018-19
Pahari (Chitrakoot) (New) T/F-I,State,220/132,UPPTCL,100.0,FEB-19,2018-19
Muradnagar Ghaziabad (Aug) T/F-II (200-160),State,220/132,UPPTCL,40.0,FEB-19,2018-19
Hardoi Road (Aug) T/F-II (200-160),State,220/132,UPPTCL,40.0,FEB-19,2018-19
Ghazipur (Aug) T/F-II (160-100),State,220/132,UPPTCL,60.0,FEB-19,2018-19
Barhi (GIS) S/S,State,220/132,HVPNL,100.0,FEB-19,2018-19
KB Cross Spare (Aug.),State,220/110,KPTCL,100.0,FEB-19,2018-19
B.Bagewadi (Aug.),State,220/110,KPTCL,100.0,FEB-19,2018-19
Kekatnimbhora s/s,State,220/132,MSETCL,200.0,MAR-19,2018-19
Jeur S/s (Aug. by Trafo Replacement(200-100)),State,220/132,MSETCL,100.0,MAR-19,2018-19
Jalna s/s (Aug.),State,220/132,MSETCL,100.0,MAR-19,2018-19
Georai s/s,State,220/132,MSETCL,150.0,MAR-19,2018-19
Chinchwad-II s/s (Aug.),State,220/132,MSETCL,200.0,MAR-19,2018-19
Bhenda s/s (Aug.),State,220/132,MSETCL,100.0,MAR-19,2018-19
Kanwan New (GEC-I),State,220/132,MPPTCL,160.0,MAR-19,2018-19
Sirsa S/s,State,220/132,HVPNL,100.0,MAR-19,2018-19
Cheeka S/s,State,220/132,HVPNL,60.0,MAR-19,2018-19
Godhara S/s Aug.,State,220/132,GETCO,100.0,MAR-19,2018-19
Asoj S/s Aug.,State,220/132,GETCO,50.0,MAR-19,2018-19
Agiyol S/s Aug.,State,220/132,GETCO,100.0,MAR-19,2018-19
Kosamba S/s Aug.,State,220/66,GETCO,60.0,MAR-19,2018-19
Kangsiyali S/s Aug.,State,220/66,GETCO,60.0,MAR-19,2018-19
Jambuva s/s (Aug.),State,220/66,GETCO,160.0,MAR-19,2018-19
Dhasa S/s Aug.,State,220/66,GETCO,60.0,MAR-19,2018-19
Deodar S/s Aug.,State,220/66,GETCO,160.0,MAR-19,2018-19
Bhachunda s/s,State,220/66,GETCO,160.0,MAR-19,2018-19
Bansi Siddharth nagar (Aug) T/F- II (160-100),State,220/132,UPPTCL,60.0,MAR-19,2018-19
Hardoi (Aug) T/F- II (160-100),State,220/132,UPPTCL,60.0,MAR-19,2018-19
Mirzapur (Aug) T/F- II (160-100),State,220/132,UPPTCL,60.0,MAR-19,2018-19
Orai (400) Jalaun (Extension) T/F- I,State,220/132,UPPTCL,160.0,MAR-19,2018-19
Unnao (Aug) T/F- II (160-100),State,220/132,UPPTCL,60.0,MAR-19,2018-19
Kaulewada S/s (Aug. by Trafo Replacement(200- 100)),State,220/132,MSETCL,100.0,MAR-19,2018-19
Vasai s/s (Aug.),State,220/22,MSETCL,50.0,MAR-19,2018-19
Jeur S/s (Aug.),State,220/33,MSETCL,50.0,MAR-19,2018-19
Karanja s/s,State,220/33,MSETCL,25.0,MAR-19,2018-19
Kekatnimbhora s/s (Aug.),State,220/33,MSETCL,100.0,MAR-19,2018-19
Ner s/s,State,220/33,MSETCL,25.0,MAR-19,2018-19
Oni S/s (Aug.),State,220/33,MSETCL,25.0,MAR-19,2018-19
Parbhani S/s (Aug.),State,220/33,MSETCL,50.0,MAR-19,2018-19
Purti S/S,State,220/33,MSETCL,25.0,MAR-19,2018-19
Sayane S/s (Aug. by Trafo Replacement (50-25)),State,220/33,MSETCL,25.0,MAR-19,2018-19
Mittemari S/S,State,220/66,KPTCL,200.0,MAR-19,2018-19
Zagadia S/s Aug.,State,220/66,GETCO,110.0,MAR-19,2018-19
Vartej S/s Aug.,State,220/66,GETCO,60.0,MAR-19,2018-19
Thavar S/s Aug.,State,220/66,GETCO,110.0,MAR-19,2018-19
Popada S/s Aug.,State,220/66,GETCO,60.0,MAR-19,2018-19
Nakhatrana S/s Aug.,State,220/66,GETCO,160.0,MAR-19,2018-19
Mota S/s Aug.,State,220/66,GETCO,60.0,MAR-19,2018-19
Morbi S/s Aug.,State,220/66,GETCO,160.0,MAR-19,2018-19
Mehsana S/s Aug.,State,220/66,GETCO,160.0,MAR-19,2018-19
Bah Agra (Aug) T/F- II (160-100),State,220/132,UPPTCL,60.0,MAR-19,2018-19
Yavatmal s/s (Aug.),State,220/132,MSETCL,50.0,MAR-19,2018-19
Viroda s/s,State,220/132,MSETCL,200.0,MAR-19,2018-19
Uppalwadi S/S,State,220/132,MSETCL,200.0,MAR-19,2018-19
SICOM Chandrapur s/s,State,220/132,MSETCL,100.0,MAR-19,2018-19
Narangwadi s/s,State,220/132,MSETCL,100.0,MAR-19,2018-19
Malkapur s/s,State,220/132,MSETCL,100.0,MAR-19,2018-19
GSS Ranpur Kota S/S,Private,220/132/33,APL,210.0,FEB-19,2018-19
Champa and Kurukshetra HVDC Station (Addl.) (Pole-3 ),Central,800,PGCIL,1500.0,NOV-19,2019-20
Champa and Kurukshetra HVDC Station (Pole- 4),Central,800,PGCIL,1500.0,MAR-20,2019-20
Bikaner S/S (2x1500 MVA),Central,765/400,PGCIL,3000.0,JUL-19,2019-20
Bhadla S/S ( ICTs I II and III),Central,765/400/220,PGCIL,4500.0,SEP-19,2019-20
Aligarh (PG) 765kV GIS ( creation of 400kV Level),Central,765/400,PGCIL,1500.0,OCT-19,2019-20
Jharsuguda (Sundargarh) S/S (Addl.),Central,765/400,PGCIL,3000.0,NOV-19,2019-20
Aligarh (PG) 765 kV GIS (Creation of 400 kV level) (ICT-II),Central,765/400,PGCIL,1500.0,DEC-19,2019-20
Chilakaluripeta S/S (PSITL - TBCB),Central,765/400,PGCIL,3000.0,JAN-20,2019-20
Khandwa PS (KTL - TBCB),Private,765/400,SGL,3000.0,MAR-20,2019-20
Bhadla S/S ( 3x500) ICT I,Central,400/220,PGCIL,500.0,APR-19,2019-20
Bongaigaon (2nd ICT) S/s.,Central,400/220,PGCIL,315.0,APR-19,2019-20
Extn. at Tumkur (Pavagada ) PS (2x500 MVA),Central,400/220,PGCIL,500.0,APR-19,2019-20
"Bhadla S/S (3x1500 3x500 MVA) (500 MVA ICTs-
II and III)",Central,400/220,PGCIL,1000.0,MAY-19,2019-20
Extn. at Tumkur (Vasantnarrsapur) S/S,Central,400/220,PGCIL,500.0,JUN-19,2019-20
Extn at Durgapur S/s (3rd ICT),Central,400/220,PGCIL,315.0,JUN-19,2019-20
Navi Mumbai (GIS),Central,400/220,PGCIL,630.0,JUN-19,2019-20
Rajarhat (GIS) S/S (2x500 MVA) ICT-II,Central,400/220,PGCIL,500.0,AUG-19,2019-20
Misa (2x500 MVA ) ICT-II,Central,400/220,PGCIL,500.0,AUG-19,2019-20
Extn. at Biharshariff,Central,400/220,PGCIL,500.0,SEP-19,2019-20
Augmentation at Bhuj S/S,Central,400/220,PGCIL,1000.0,OCT-19,2019-20
Uttra (Pindiabil) S/S,Central,400/220,PGCIL,1000.0,NOV-19,2019-20
Alipurduar HVDC S/S,Central,400/220,PGCIL,630.0,NOV-19,2019-20
Extn at Dehgam s/s (3rd ICT),Central,400/220,PGCIL,500.0,NOV-19,2019-20
Kurukshetra S/S,Central,400/220,PGCIL,1000.0,NOV-19,2019-20
Yelahanka (GIS),Central,400/220,PGCIL,1000.0,NOV-19,2019-20
Extn. at Lakhisarai s/s,Central,400/132,PGCIL,315.0,DEC-19,2019-20
Extn. at Banka s/s,Central,400/132,PGCIL,315.0,DEC-19,2019-20
Repl. of 1x315 MVA ICT with 1x500 MVA ICT at Pusauli s/s (ICT-II),Central,400/220,PGCIL,185.0,JAN-20,2019-20
Nawada S/S,State,400/220,HVPNL,315.0,APR-19,2019-20
Motiram Adda Gorakhpur (Aug.) (Additional T/F),State,400/220,UPPTCL,240.0,APR-19,2019-20
Muradnagar-II Ghaziabad (Aug) (Additional T/F),State,400/220,UPPTCL,240.0,APR-19,2019-20
Noida Sec- 148 G.B.Nagar (New),State,400/220,UPPTCL,500.0,APR-19,2019-20
Sarnath Varanasi (Aug) T/F- II (500-315),State,400/220,UPPTCL,185.0,APR-19,2019-20
Unnao (Aug) T/F-III,State,400/220,UPPTCL,315.0,APR-19,2019-20
Sarojininagar Lucknow Aug) T/F- II (500-315),State,400/220,UPPTCL,185.0,APR-19,2019-20
Masauli Prayagraj (New) T/F-III,State,400/132,UPPTCL,200.0,MAY-19,2019-20
Talaricheruvu S/s,State,400/220,APTRANSCO,945.0,MAY-19,2019-20
Uravakonda (Aug.) ICT-II,State,400/220,APTRANSCO,500.0,MAY-19,2019-20
Jangaon s/s (3x500) (ICT-I),State,400/220,TSTRANSCO,500.0,MAY-19,2019-20
Moradabad(Aug.) (Additional T/F),State,400/220,UPPTCL,240.0,MAY-19,2019-20
Noida Sec-148 G.B Nagar (New)T/F-II,State,400/220,UPPTCL,500.0,JUN-19,2019-20
Muktsar (Aug) Addl T/F,State,400/220,PSTCL,500.0,AUG-19,2019-20
Lapanga S/S (ICT-II),State,400/220,OPTCL,315.0,AUG-19,2019-20
Wangtoo (GIS) S/S,State,400/220,HPPTCL,630.0,OCT-19,2019-20
NSPCL (ICT-II),State,400/220,CSPTCL,315.0,NOV-19,2019-20
Charanka S/S,State,400/220,GETCO,630.0,NOV-19,2019-20
Hadala (Aug.),State,400/220,GETCO,500.0,NOV-19,2019-20
Thoppankundu s/s,State,400/110,TANTRANSCO,600.0,NOV-19,2019-20
Thennamapatty s/s,State,400/230/110,TANTRANSCO,1030.0,NOV-19,2019-20
Jangaon S/S (ICT II and III),State,400/220,TSTRANSCO,1000.0,NOV-19,2019-20
Ramadugu s/s,State,400/220,TSTRANSCO,1000.0,JAN-20,2019-20
Prithala (Palwal) (GIS) (GPTL - TBCB),Private,400/220,SGL,1000.0,JUL-19,2019-20
Kadarpur (Gurgaon ) (GIS) (GPTL - TBCB),Private,400/220,SGL,1000.0,NOV-19,2019-20
Uddanapally S/S,State,230/110,TANTRANSCO,200.0,JUN-19,2019-20
Arani Addl T/F,State,230/110,TANTRANSCO,80.0,JUL-19,2019-20
Porur Addl T/F,State,230/33,TANTRANSCO,50.0,JUL-19,2019-20
Ulundurpettai (Addl T/F),State,230/110,TANTRANSCO,100.0,AUG-19,2019-20
Villupura (Aug.) (160-100),State,230/110,TANTRANSCO,60.0,SEP-19,2019-20
Othakkalmandapam s/s (Enhancement),State,230/110,TANTRANSCO,100.0,OCT-19,2019-20
Kurukathi (Addl T/F),State,230/110,TANTRANSCO,100.0,NOV-19,2019-20
Nimmeli Thippiakudi (Addl T/F),State,230/110,TANTRANSCO,100.0,JAN-20,2019-20
Thiruchuli (Addl T/F),State,230/110,TANTRANSCO,50.0,JAN-20,2019-20
Savasapuram (Addl),State,230/110,TANTRANSCO,100.0,FEB-20,2019-20
Guruparapally (Addl),State,230/110,TANTRANSCO,100.0,FEB-20,2019-20
Tiruppur (JICA) (ICT-I),State,230/110,TANTRANSCO,100.0,MAR-20,2019-20
Repl. at Malda (50-160),Central,220/132,PGCIL,110.0,OCT-19,2019-20
Dhanbad (Auto-Xmer) T/F-I,Central,220/132,DVC,160.0,JAN-20,2019-20
Sitapur (Aug.) (Additional T/F),State,220/132,UPPTCL,160.0,APR-19,2019-20
